PERIOD,cl_id,MCC,channel_type,currency,TRDATETIME,amount,trx_category,target_flag,target_sum,trx_category_mul,is_weekend,mday,wday,year,ymonth,mcc_group,amount_log,channel_type_type0,channel_type_type1,channel_type_type2,channel_type_type3,channel_type_type4,channel_type_type5,trx_category_BACK_TRX,trx_category_C2C_IN,trx_category_C2C_OUT,trx_category_CASH_ADV,trx_category_CAT,trx_category_DEPOSIT,trx_category_POS,trx_category_WD_ATM_OTHER,trx_category_WD_ATM_PARTNER,trx_category_WD_ATM_ROS
01/02/2018,4862,5812,type1,810,2018-02-27 00:00:00,145.0,POS,0,0.0,-1,False,27,1,2018,2,15.0,4.983606621708336,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/04/2017,995,6011,type2,810,2017-04-15 08:35:53,2000.0,WD_ATM_ROS,1,115181.78,-1,True,15,5,2017,4,11.0,7.601402334583733,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
01/02/2017,3672,5411,type1,810,2017-02-11 00:00:00,89.0,POS,0,0.0,-1,True,11,5,2017,2,17.0,4.499809670330265,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/01/2017,8339,7542,type1,810,2017-01-26 00:00:00,1030.0,POS,1,3746.6,-1,False,26,3,2017,1,16.0,6.93828448401696,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/07/2017,2780,6011,type2,810,2017-07-03 16:40:05,1000.0,WD_ATM_ROS,0,0.0,-1,False,3,0,2017,7,11.0,6.90875477931522,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
01/05/2017,7434,7997,type1,810,2017-05-24 00:00:00,3999.0,POS,0,0.0,-1,False,24,2,2017,5,14.0,8.294049640102028,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/02/2017,1104,8211,type2,810,2017-02-26 00:00:00,20.0,POS,1,1543.0,-1,True,26,6,2017,2,13.0,3.044522437723423,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/08/2017,9458,5995,type1,810,2017-08-10 00:00:00,2160.0,POS,0,0.0,-1,False,10,3,2017,8,15.0,7.6783263565068856,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/03/2017,8787,3011,type1,810,2017-03-14 00:00:00,4750.0,POS,0,0.0,-1,False,14,1,2017,3,0.0,8.46611040118692,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/12/2016,160,8099,type4,810,2016-12-27 00:00:00,26415.0,POS,1,456241.64,-1,False,27,1,2016,12,13.0,10.181725166159909,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
01/10/2017,4360,5541,type1,810,2017-10-03 00:00:00,1357.56,POS,1,182215.31,-1,False,3,1,2017,10,1.0,7.2141805942510535,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/05/2017,1800,7011,type2,810,2017-05-18 00:00:00,8662.5,POS,1,117717.52,-1,False,18,3,2017,5,10.0,9.066874076950901,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/10/2017,9474,5812,type1,810,2017-10-23 00:00:00,245.0,POS,1,68766.67,-1,False,23,0,2017,10,15.0,5.5053315359323625,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/04/2017,9237,5814,type1,810,2017-04-27 00:00:00,299.0,POS,0,0.0,-1,False,27,3,2017,4,15.0,5.703782474656201,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/06/2017,820,5812,type2,810,2017-06-16 00:00:00,200.0,POS,0,0.0,-1,False,16,4,2017,6,15.0,5.303304908059076,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/12/2016,5346,5912,type1,810,2016-12-19 00:00:00,305.5,POS,0,0.0,-1,False,19,0,2016,12,15.0,5.725217755376266,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/12/2016,2191,5722,type2,810,2016-12-30 00:00:00,4599.0,POS,1,42176.0,-1,False,30,4,2016,12,15.0,8.433811582477187,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/08/2017,4610,5311,type1,810,2017-08-29 00:00:00,3398.0,POS,1,293725.13,-1,False,29,1,2017,8,17.0,8.131236549696116,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/07/2017,2699,5411,type2,810,2017-07-07 00:00:00,184.0,POS,1,169067.12,-1,False,7,4,2017,7,17.0,5.220355825078324,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/11/2016,6367,5813,type1,810,2016-11-12 00:00:00,1340.0,POS,1,103469.24,-1,True,12,5,2016,11,15.0,7.201170883281678,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/06/2017,9009,6011,type1,810,2017-06-17 21:47:36,50000.0,DEPOSIT,1,31984.07,1,True,17,5,2017,6,11.0,10.819798284210286,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01/05/2017,7724,4812,type1,810,2017-05-31 00:00:00,7300.0,POS,0,0.0,-1,False,31,2,2017,5,5.0,8.895766604056085,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/10/2017,7154,5812,type1,810,2017-10-04 00:00:00,79.0,POS,1,30172.56,-1,False,4,2,2017,10,15.0,4.382026634673881,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/09/2017,5477,6011,type1,810,2017-09-29 15:59:23,30000.0,DEPOSIT,1,33500.0,1,False,29,4,2017,9,11.0,10.308985993422082,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01/03/2018,740,5912,type2,810,2018-03-24 00:00:00,292.0,POS,1,177300.36,-1,True,24,5,2018,3,15.0,5.680172609017068,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/09/2017,1879,6011,type2,810,2017-09-17 00:00:00,5000.0,WD_ATM_PARTNER,1,187132.35,-1,True,17,6,2017,9,11.0,8.517393171418904,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
01/03/2018,228,5541,type4,810,2018-03-26 00:00:00,2543.07,POS,1,466235.45,-1,False,26,0,2018,3,1.0,7.841520439804733,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
01/12/2016,7030,5812,type1,810,2016-12-10 00:00:00,600.0,POS,1,500.0,-1,True,10,5,2016,12,15.0,6.398594934535208,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/02/2017,3864,5411,type1,810,2017-02-14 00:00:00,397.3,POS,1,94970.74,-1,False,14,1,2017,2,17.0,5.987205490187598,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/02/2017,4449,5411,type1,810,2017-02-10 00:00:00,876.71,POS,0,0.0,-1,False,10,4,2017,2,17.0,6.777316242947774,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/02/2017,3020,5812,type2,810,2017-02-26 00:00:00,1905.0,POS,0,0.0,-1,True,26,6,2017,2,15.0,7.552762084214147,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/05/2017,3914,5541,type1,810,2017-05-27 00:00:00,1190.0,POS,1,59881.84,-1,True,27,5,2017,5,1.0,7.0825485693553,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/09/2017,3302,5999,type3,810,2017-09-04 00:00:00,30566.0,POS,1,242857.57,-1,False,4,0,2017,9,15.0,10.327676274642394,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
01/02/2017,6616,6011,type1,810,2017-02-17 13:15:43,100000.0,DEPOSIT,1,163441.74,1,False,17,4,2017,2,11.0,11.51293546492023,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01/06/2017,2062,5814,type2,810,2017-06-14 00:00:00,265.0,POS,1,220500.27,-1,False,14,2,2017,6,15.0,5.583496308781699,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/11/2016,6404,7994,type1,810,2016-11-30 00:00:00,174.0,POS,1,3978.0,-1,False,30,2,2016,11,14.0,5.1647859739235145,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/04/2017,1357,4112,type2,810,2017-04-04 00:00:00,470.0,POS,1,281535.99,-1,False,4,1,2017,4,18.0,6.154858094016418,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/01/2018,4176,5912,type1,810,2018-01-22 00:00:00,330.2,POS,1,12397.65,-1,False,22,0,2018,1,15.0,5.8027224225111045,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/03/2017,9747,6012,type1,810,2017-03-01 00:00:00,12003.1,C2C_OUT,0,0.0,-1,False,1,2,2017,3,11.0,9.39300353708204,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01/06/2017,2062,5541,type2,810,2017-06-20 00:00:00,1199.78,POS,1,220500.27,-1,False,20,1,2017,6,1.0,7.090726624617589,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/07/2017,7907,5722,type1,810,2017-07-05 00:00:00,1710.0,POS,0,0.0,-1,False,5,2,2017,7,15.0,7.444833273892193,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/08/2017,1214,5411,type2,978,2017-08-09 00:00:00,19.12,POS,0,0.0,-1,False,9,2,2017,8,17.0,3.0017143452315387,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/04/2017,1949,5541,type2,810,2017-04-23 00:00:00,1168.5,POS,1,205924.86,-1,True,23,6,2017,4,1.0,7.064331586024234,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/01/2017,7230,5912,type1,810,2017-01-09 00:00:00,1070.0,POS,0,0.0,-1,False,9,0,2017,1,15.0,6.976348070447749,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/02/2017,544,6012,type2,810,2017-02-16 00:00:00,10000.0,C2C_OUT,1,54010.31,-1,False,16,3,2017,2,11.0,9.210440366976517,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
01/07/2017,1521,5411,type2,810,2017-07-02 00:00:00,8920.0,POS,1,235228.77,-1,True,2,6,2017,7,17.0,9.096163326913784,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/10/2016,1669,7216,type2,810,2016-10-17 00:00:00,1113.0,POS,0,0.0,-1,False,17,0,2016,10,7.0,7.01571242048723,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/04/2017,310,5411,type2,810,2017-04-06 00:00:00,179.25,POS,1,112748.21,-1,False,6,3,2017,4,17.0,5.1943447761650585,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/02/2017,5939,5411,type1,810,2017-02-13 00:00:00,3232.0,POS,0,0.0,-1,False,13,0,2017,2,17.0,8.081165777725433,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/06/2017,9197,5541,type1,810,2017-06-27 00:00:00,1150.0,POS,0,0.0,-1,False,27,1,2017,6,1.0,7.048386408721883,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/11/2016,2275,5499,type2,810,2016-11-21 00:00:00,191.0,POS,1,411299.69,-1,False,21,0,2016,11,17.0,5.2574953720277815,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/05/2017,3854,5411,type1,810,2017-05-04 00:00:00,2157.0,POS,0,0.0,-1,False,4,3,2017,5,17.0,7.67693714581808,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/02/2017,7462,5411,type1,810,2017-02-15 00:00:00,152.0,POS,0,0.0,-1,False,15,2,2017,2,17.0,5.030437921392435,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/08/2017,2701,5814,type2,810,2017-08-03 00:00:00,398.0,POS,1,24392.98,-1,False,3,3,2017,8,15.0,5.988961416889864,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/09/2017,2493,5814,type2,810,2017-09-01 00:00:00,260.0,POS,1,12940.84,-1,False,1,4,2017,9,15.0,5.564520407322694,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/02/2017,10046,5411,type1,810,2017-02-21 00:00:00,342.0,POS,1,9029.71,-1,False,21,1,2017,2,17.0,5.8377304471659395,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/08/2017,8056,5541,type1,810,2017-08-10 00:00:00,49.0,POS,0,0.0,-1,False,10,3,2017,8,1.0,3.912023005428146,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/01/2017,9775,6011,type1,810,2017-01-19 14:36:00,40000.0,DEPOSIT,1,58070.42,1,False,19,3,2017,1,11.0,10.596659732783579,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01/05/2017,5498,5812,type1,810,2017-05-07 00:00:00,9540.0,POS,1,4375.9,-1,True,7,6,2017,5,15.0,9.163353580751846,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/07/2017,5359,5499,type1,810,2017-07-04 00:00:00,112.0,POS,1,291.9,-1,False,4,1,2017,7,17.0,4.727387818712341,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/03/2017,8719,6011,type1,810,2017-03-30 15:56:27,15000.0,DEPOSIT,0,0.0,1,False,30,3,2017,3,11.0,9.61587214452889,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01/04/2017,8085,5411,type1,810,2017-04-25 00:00:00,219.0,POS,0,0.0,-1,False,25,1,2017,4,17.0,5.393627546352362,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/08/2017,7596,4121,type1,810,2017-08-01 00:00:00,67.0,POS,1,2402.49,-1,False,1,1,2017,8,18.0,4.219507705176107,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/08/2017,8861,5331,type1,810,2017-08-15 00:00:00,135.0,POS,1,34.74,-1,False,15,1,2017,8,17.0,4.912654885736052,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/06/2017,3782,5945,type1,810,2017-06-26 00:00:00,145.0,POS,1,24289.32,-1,False,26,0,2017,6,15.0,4.983606621708336,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/03/2017,2616,4722,type2,978,2017-03-17 00:00:00,1715.73,POS,1,3623.44,-1,False,17,4,2017,3,18.0,7.448176597513018,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/01/2017,5625,5211,type1,810,2017-01-23 00:00:00,2425.8,POS,1,48659.32,-1,False,23,0,2017,1,17.0,7.794328796068143,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/12/2017,6233,5499,type1,810,2017-12-10 00:00:00,227.0,POS,1,11783.78,-1,True,10,6,2017,12,17.0,5.429345628954441,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/08/2017,2851,6011,type2,810,2017-08-28 00:00:00,500.0,WD_ATM_PARTNER,1,277091.13,-1,False,28,0,2017,8,11.0,6.2166061010848646,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
01/02/2017,3016,4111,type2,810,2017-02-02 00:00:00,1000.0,POS,0,0.0,-1,False,2,3,2017,2,18.0,6.90875477931522,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/05/2017,504,5999,type2,810,2017-05-25 00:00:00,300.0,POS,1,197134.65,-1,False,25,3,2017,5,15.0,5.707110264748875,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/01/2017,3030,5499,type2,810,2017-01-16 00:00:00,223.0,POS,1,78172.23,-1,False,16,0,2017,1,17.0,5.4116460518550396,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/06/2017,4693,5912,type1,810,2017-06-08 00:00:00,462.58,POS,1,25043.99,-1,False,8,3,2017,6,15.0,6.138978969896531,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/04/2017,4403,5411,type1,810,2017-04-25 00:00:00,147.0,POS,1,181040.62,-1,False,25,1,2017,4,17.0,4.997212273764115,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/12/2016,6957,5511,type1,810,2016-12-22 00:00:00,10021.0,POS,0,0.0,-1,False,22,3,2016,12,1.0,9.21253795551967,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/11/2016,8297,5411,type1,810,2016-11-28 00:00:00,916.5,POS,0,0.0,-1,False,28,0,2016,11,17.0,6.821652579928726,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/01/2017,8791,5411,type1,810,2017-01-13 00:00:00,199.0,POS,1,41252.22,-1,False,13,4,2017,1,17.0,5.298317366548036,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/12/2016,9716,5411,type1,810,2016-12-03 00:00:00,2616.0,POS,0,0.0,-1,True,3,5,2016,12,17.0,7.869783902530146,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/06/2017,5034,4829,type1,810,2017-06-01 09:55:06,6100.0,C2C_OUT,1,580070.7,-1,False,1,3,2017,6,11.0,8.716207971151853,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01/06/2017,7101,6011,type1,810,2017-06-04 09:59:21,49000.0,DEPOSIT,0,0.0,1,True,4,6,2017,6,11.0,10.799595985047786,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01/12/2016,8607,5411,type1,810,2016-12-23 00:00:00,305.0,POS,1,10825.58,-1,False,23,4,2016,12,17.0,5.723585101952381,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/05/2017,5630,5499,type1,810,2017-05-03 00:00:00,31.0,POS,0,0.0,-1,False,3,2,2017,5,17.0,3.4657359027997265,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/06/2017,4800,4900,type1,810,2017-06-27 00:00:00,750.82,POS,1,22699.59,-1,False,27,1,2017,6,5.0,6.6224969335961275,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/02/2017,1367,4121,type2,810,2017-02-02 00:00:00,145.0,POS,1,4851.8,-1,False,2,3,2017,2,18.0,4.983606621708336,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/12/2016,9070,5411,type1,810,2016-12-01 00:00:00,222.0,POS,0,0.0,-1,False,1,3,2016,12,17.0,5.407171771460119,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/09/2017,4850,6012,type1,810,2017-09-23 00:00:00,8500.0,C2C_IN,1,185842.67,1,True,23,5,2017,9,11.0,9.04793908261736,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01/08/2017,5654,5541,type1,810,2017-08-19 00:00:00,1500.0,POS,0,0.0,-1,True,19,5,2017,8,1.0,7.313886831633462,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/06/2017,3556,5541,type1,810,2017-06-08 00:00:00,1222.2,POS,1,225866.19,-1,False,8,3,2017,6,1.0,7.1092256546148525,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/08/2017,6576,5814,type1,810,2017-08-13 00:00:00,168.0,POS,0,0.0,-1,True,13,6,2017,8,15.0,5.1298987149230735,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/12/2016,1744,5812,type2,810,2016-12-22 00:00:00,1440.0,POS,1,246707.46,-1,False,22,3,2016,12,15.0,7.273092595999522,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/01/2017,1918,5411,type2,810,2017-01-28 00:00:00,7799.01,POS,0,0.0,-1,True,28,5,2017,1,17.0,8.961880294728143,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/01/2017,9425,5411,type1,810,2017-01-12 00:00:00,741.38,POS,0,0.0,-1,False,12,3,2017,1,17.0,6.609861241453939,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/06/2017,1517,7922,type2,810,2017-06-23 00:00:00,500.0,POS,1,53038.51,-1,False,23,4,2017,6,14.0,6.2166061010848646,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/09/2017,1682,5411,type2,810,2017-09-14 00:00:00,1067.0,POS,1,121682.41,-1,False,14,3,2017,9,17.0,6.97354301952014,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/06/2017,5504,6011,type1,810,2017-06-26 16:22:55,21000.0,WD_ATM_ROS,1,143103.02,-1,False,26,0,2017,6,11.0,9.952325334619427,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
01/09/2017,4563,5812,type1,810,2017-09-25 00:00:00,1034.0,POS,1,143265.06,-1,False,25,0,2017,9,15.0,6.942156705699469,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/01/2017,9236,5411,type1,810,2017-01-14 00:00:00,302.0,POS,0,0.0,-1,True,14,5,2017,1,17.0,5.713732805509369,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/12/2016,7622,5814,type1,810,2016-12-16 00:00:00,81.0,POS,0,0.0,-1,False,16,4,2016,12,15.0,4.406719247264253,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/04/2017,3567,5813,type1,810,2017-04-04 00:00:00,195.0,POS,1,110617.96,-1,False,4,1,2017,4,15.0,5.278114659230517,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/07/2017,4968,5411,type1,810,2017-07-13 00:00:00,522.52,POS,1,15010.57,-1,False,13,3,2017,7,17.0,6.260575233974327,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/10/2016,2078,5732,type2,810,2016-10-26 00:00:00,250.0,POS,1,9600.0,-1,False,26,2,2016,10,15.0,5.5254529391317835,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/03/2017,9751,5499,type1,810,2017-03-02 00:00:00,165.39,POS,0,0.0,-1,False,2,3,2017,3,17.0,5.114334430427416,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/08/2017,4689,5411,type1,810,2017-08-12 00:00:00,123.74,POS,1,203.0,-1,True,12,5,2017,8,17.0,4.826231571097977,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/06/2017,8835,5411,type1,810,2017-06-06 00:00:00,1208.95,POS,0,0.0,-1,False,6,1,2017,6,17.0,7.098334315422947,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/06/2017,505,5411,type2,810,2017-06-22 00:00:00,244.0,POS,1,142739.88,-1,False,22,3,2017,6,17.0,5.501258210544727,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/05/2017,6617,6011,type1,810,2017-05-17 17:49:15,500.0,DEPOSIT,1,39648.9,1,False,17,2,2017,5,11.0,6.2166061010848646,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01/03/2017,5577,5943,type1,810,2017-03-20 00:00:00,380.0,POS,0,0.0,-1,False,20,0,2017,3,15.0,5.942799375126701,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/07/2017,4800,5817,type1,810,2017-07-16 00:00:00,1717.0,POS,1,22699.59,-1,True,16,6,2017,7,15.0,7.4489161025442,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/03/2017,9014,5499,type1,810,2017-03-15 00:00:00,2160.0,POS,0,0.0,-1,False,15,2,2017,3,17.0,7.6783263565068856,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/12/2016,9634,5122,type1,810,2016-12-14 00:00:00,240.0,POS,0,0.0,-1,False,14,2,2016,12,9.0,5.484796933490655,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/07/2017,3973,5541,type1,810,2017-07-25 00:00:00,1892.3,POS,0,0.0,-1,False,25,1,2017,7,1.0,7.546076617258303,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/04/2017,8866,5411,type1,810,2017-04-20 00:00:00,743.0,POS,0,0.0,-1,False,20,3,2017,4,17.0,6.612041034833092,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/09/2017,369,5992,type2,810,2017-09-05 00:00:00,801.0,POS,1,116217.6,-1,False,5,1,2017,9,15.0,6.687108607866515,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/04/2017,8258,6011,type1,810,2017-04-24 17:32:19,9000.0,DEPOSIT,0,0.0,1,False,24,0,2017,4,11.0,9.105090961257085,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01/09/2017,4637,6011,type1,810,2017-09-10 00:00:00,300.0,WD_ATM_PARTNER,1,482445.23,-1,True,10,6,2017,9,11.0,5.707110264748875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
01/06/2017,2857,5331,type2,810,2017-06-25 00:00:00,383.0,POS,1,73828.31,-1,True,25,6,2017,6,17.0,5.950642552587727,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/07/2017,8757,5261,type1,810,2017-07-12 00:00:00,890.0,POS,0,0.0,-1,False,12,2,2017,7,17.0,6.792344427470809,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/12/2016,6951,5814,type1,985,2016-12-31 00:00:00,13.9,POS,1,583911.45,-1,True,31,5,2016,12,15.0,2.7013612129514133,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/05/2017,3922,5411,type1,810,2017-05-20 00:00:00,1250.75,POS,1,396933.65,-1,True,20,5,2017,5,17.0,7.132297851210054,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
